,attack_raw,attack_display,position_vector,magnitude,unit_vector,projection,dot_product,angle_with_Q,Orthogonality
40,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
41,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
42,190,912,[190 912],931.581451081976,[0.20395425 0.97898042],[551. 551.],1102,33.231711067979354,False
43,100,480,[100 480],490.3060268852505,[0.20395425 0.97898042],[290. 290.],580,33.23171106797937,False
44,110,528,[110 528],539.3366295737756,[0.20395425 0.97898042],[319. 319.],638,33.231711067979354,False
45,120,576,[120 576],588.3672322623006,[0.20395425 0.97898042],[348. 348.],696,33.231711067979354,False
46,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
47,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
48,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
49,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
50,190,912,[190 912],931.581451081976,[0.20395425 0.97898042],[551. 551.],1102,33.231711067979354,False
51,190,912,[190 912],931.581451081976,[0.20395425 0.97898042],[551. 551.],1102,33.231711067979354,False
52,200,960,[200 960],980.612053770501,[0.20395425 0.97898042],[580. 580.],1160,33.23171106797937,False
53,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
54,180,864,[180 864],882.5508483934509,[0.20395425 0.97898042],[522. 522.],1044,33.231711067979354,False
55,210,1008,[ 210 1008],1029.642656459026,[0.20395425 0.97898042],[609. 609.],1218,33.23171106797937,False
56,120,576,[120 576],588.3672322623006,[0.20395425 0.97898042],[348. 348.],696,33.231711067979354,False
57,130,624,[130 624],637.3978349508257,[0.20395425 0.97898042],[377. 377.],754,33.23171106797937,False
58,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
59,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
60,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
61,190,912,[190 912],931.581451081976,[0.20395425 0.97898042],[551. 551.],1102,33.231711067979354,False
62,130,624,[130 624],637.3978349508257,[0.20395425 0.97898042],[377. 377.],754,33.23171106797937,False
63,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
64,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
65,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
66,180,864,[180 864],882.5508483934509,[0.20395425 0.97898042],[522. 522.],1044,33.231711067979354,False
67,200,960,[200 960],980.612053770501,[0.20395425 0.97898042],[580. 580.],1160,33.23171106797937,False
68,130,624,[130 624],637.3978349508257,[0.20395425 0.97898042],[377. 377.],754,33.23171106797937,False
69,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
70,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
71,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
72,190,912,[190 912],931.581451081976,[0.20395425 0.97898042],[551. 551.],1102,33.231711067979354,False
73,100,480,[100 480],490.3060268852505,[0.20395425 0.97898042],[290. 290.],580,33.23171106797937,False
74,120,576,[120 576],588.3672322623006,[0.20395425 0.97898042],[348. 348.],696,33.231711067979354,False
75,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
76,110,528,[110 528],539.3366295737756,[0.20395425 0.97898042],[319. 319.],638,33.231711067979354,False
77,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
78,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
79,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
80,220,1056,[ 220 1056],1078.673259147551,[0.20395425 0.97898042],[638. 638.],1276,33.231711067979354,False
81,100,480,[100 480],490.3060268852505,[0.20395425 0.97898042],[290. 290.],580,33.23171106797937,False
82,120,576,[120 576],588.3672322623006,[0.20395425 0.97898042],[348. 348.],696,33.231711067979354,False
83,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
84,180,864,[180 864],882.5508483934509,[0.20395425 0.97898042],[522. 522.],1044,33.231711067979354,False
85,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
86,180,864,[180 864],882.5508483934509,[0.20395425 0.97898042],[522. 522.],1044,33.231711067979354,False
87,200,960,[200 960],980.612053770501,[0.20395425 0.97898042],[580. 580.],1160,33.23171106797937,False
88,80,264,[ 80 264],275.85503439306666,[0.2900074 0.9570244],[172. 172.],344,28.141601232261724,False
89,90,297,[ 90 297],310.3369136922,[0.2900074 0.9570244],[193.5 193.5],387,28.141601232261735,False
90,100,330,[100 330],344.81879299133334,[0.2900074 0.9570244],[215. 215.],430,28.141601232261724,False
91,110,363,[110 363],379.3006722904667,[0.2900074 0.9570244],[236.5 236.5],473,28.141601232261735,False
92,130,429,[130 429],448.26443088873333,[0.2900074 0.9570244],[279.5 279.5],559,28.141601232261724,False
93,140,462,[140 462],482.7463101878667,[0.2900074 0.9570244],[301. 301.],602,28.141601232261735,False
94,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
95,180,594,[180 594],620.6738273844,[0.2900074 0.9570244],[387. 387.],774,28.141601232261735,False
96,190,627,[190 627],655.1557066835334,[0.2900074 0.9570244],[408.5 408.5],817,28.141601232261735,False
97,210,693,[210 693],724.1194652818,[0.2900074 0.9570244],[451.5 451.5],903,28.14160123226171,False
98,130,429,[130 429],448.26443088873333,[0.2900074 0.9570244],[279.5 279.5],559,28.141601232261724,False
99,140,462,[140 462],482.7463101878667,[0.2900074 0.9570244],[301. 301.],602,28.141601232261735,False
100,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
101,170,561,[170 561],586.1919480852667,[0.2900074 0.9570244],[365.5 365.5],731,28.14160123226175,False
102,180,594,[180 594],620.6738273844,[0.2900074 0.9570244],[387. 387.],774,28.141601232261735,False
103,100,330,[100 330],344.81879299133334,[0.2900074 0.9570244],[215. 215.],430,28.141601232261724,False
104,110,363,[110 363],379.3006722904667,[0.2900074 0.9570244],[236.5 236.5],473,28.141601232261735,False
105,130,429,[130 429],448.26443088873333,[0.2900074 0.9570244],[279.5 279.5],559,28.141601232261724,False
106,150,495,[150 495],517.228189487,[0.2900074 0.9570244],[322.5 322.5],645,28.141601232261724,False
107,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
108,170,561,[170 561],586.1919480852667,[0.2900074 0.9570244],[365.5 365.5],731,28.14160123226175,False
109,180,594,[180 594],620.6738273844,[0.2900074 0.9570244],[387. 387.],774,28.141601232261735,False
110,200,660,[200 660],689.6375859826667,[0.2900074 0.9570244],[430. 430.],860,28.141601232261724,False
111,110,363,[110 363],379.3006722904667,[0.2900074 0.9570244],[236.5 236.5],473,28.141601232261735,False
112,150,495,[150 495],517.228189487,[0.2900074 0.9570244],[322.5 322.5],645,28.141601232261724,False
113,190,627,[190 627],655.1557066835334,[0.2900074 0.9570244],[408.5 408.5],817,28.141601232261735,False
114,120,396,[120 396],413.7825515896,[0.2900074 0.9570244],[258. 258.],516,28.141601232261735,False
115,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
116,170,561,[170 561],586.1919480852667,[0.2900074 0.9570244],[365.5 365.5],731,28.14160123226175,False
117,190,627,[190 627],655.1557066835334,[0.2900074 0.9570244],[408.5 408.5],817,28.141601232261735,False
118,90,297,[ 90 297],310.3369136922,[0.2900074 0.9570244],[193.5 193.5],387,28.141601232261735,False
119,100,330,[100 330],344.81879299133334,[0.2900074 0.9570244],[215. 215.],430,28.141601232261724,False
120,120,396,[120 396],413.7825515896,[0.2900074 0.9570244],[258. 258.],516,28.141601232261735,False
121,130,429,[130 429],448.26443088873333,[0.2900074 0.9570244],[279.5 279.5],559,28.141601232261724,False
122,150,495,[150 495],517.228189487,[0.2900074 0.9570244],[322.5 322.5],645,28.141601232261724,False
123,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
124,190,627,[190 627],655.1557066835334,[0.2900074 0.9570244],[408.5 408.5],817,28.141601232261735,False
125,190,627,[190 627],655.1557066835334,[0.2900074 0.9570244],[408.5 408.5],817,28.141601232261735,False
126,170,561,[170 561],586.1919480852667,[0.2900074 0.9570244],[365.5 365.5],731,28.14160123226175,False
127,200,660,[200 660],689.6375859826667,[0.2900074 0.9570244],[430. 430.],860,28.141601232261724,False
128,140,462,[140 462],482.7463101878667,[0.2900074 0.9570244],[301. 301.],602,28.141601232261735,False
129,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
130,180,594,[180 594],620.6738273844,[0.2900074 0.9570244],[387. 387.],774,28.141601232261735,False
131,200,660,[200 660],689.6375859826667,[0.2900074 0.9570244],[430. 430.],860,28.141601232261724,False
132,210,693,[210 693],724.1194652818,[0.2900074 0.9570244],[451.5 451.5],903,28.14160123226171,False
133,120,396,[120 396],413.7825515896,[0.2900074 0.9570244],[258. 258.],516,28.141601232261735,False
134,130,429,[130 429],448.26443088873333,[0.2900074 0.9570244],[279.5 279.5],559,28.141601232261724,False
135,140,462,[140 462],482.7463101878667,[0.2900074 0.9570244],[301. 301.],602,28.141601232261735,False
136,150,495,[150 495],517.228189487,[0.2900074 0.9570244],[322.5 322.5],645,28.141601232261724,False
137,170,561,[170 561],586.1919480852667,[0.2900074 0.9570244],[365.5 365.5],731,28.14160123226175,False
138,190,627,[190 627],655.1557066835334,[0.2900074 0.9570244],[408.5 408.5],817,28.141601232261735,False
139,190,627,[190 627],655.1557066835334,[0.2900074 0.9570244],[408.5 408.5],817,28.141601232261735,False
140,200,660,[200 660],689.6375859826667,[0.2900074 0.9570244],[430. 430.],860,28.141601232261724,False
141,110,363,[110 363],379.3006722904667,[0.2900074 0.9570244],[236.5 236.5],473,28.141601232261735,False
142,120,396,[120 396],413.7825515896,[0.2900074 0.9570244],[258. 258.],516,28.141601232261735,False
143,140,462,[140 462],482.7463101878667,[0.2900074 0.9570244],[301. 301.],602,28.141601232261735,False
144,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
145,170,561,[170 561],586.1919480852667,[0.2900074 0.9570244],[365.5 365.5],731,28.14160123226175,False
146,180,594,[180 594],620.6738273844,[0.2900074 0.9570244],[387. 387.],774,28.141601232261735,False
147,130,429,[130 429],448.26443088873333,[0.2900074 0.9570244],[279.5 279.5],559,28.141601232261724,False
148,140,462,[140 462],482.7463101878667,[0.2900074 0.9570244],[301. 301.],602,28.141601232261735,False
149,150,495,[150 495],517.228189487,[0.2900074 0.9570244],[322.5 322.5],645,28.141601232261724,False
150,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
151,120,396,[120 396],413.7825515896,[0.2900074 0.9570244],[258. 258.],516,28.141601232261735,False
152,130,429,[130 429],448.26443088873333,[0.2900074 0.9570244],[279.5 279.5],559,28.141601232261724,False
153,140,462,[140 462],482.7463101878667,[0.2900074 0.9570244],[301. 301.],602,28.141601232261735,False
154,150,495,[150 495],517.228189487,[0.2900074 0.9570244],[322.5 322.5],645,28.141601232261724,False
155,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
156,100,330,[100 330],344.81879299133334,[0.2900074 0.9570244],[215. 215.],430,28.141601232261724,False
157,110,363,[110 363],379.3006722904667,[0.2900074 0.9570244],[236.5 236.5],473,28.141601232261735,False
158,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
159,160,528,[160 528],551.7100687861333,[0.2900074 0.9570244],[344. 344.],688,28.141601232261724,False
160,220,726,[220 726],758.6013445809334,[0.2900074 0.9570244],[473. 473.],946,28.141601232261735,False
161,100,330,[100 330],344.81879299133334,[0.2900074 0.9570244],[215. 215.],430,28.141601232261724,False
162,110,363,[110 363],379.3006722904667,[0.2900074 0.9570244],[236.5 236.5],473,28.141601232261735,False
163,170,561,[170 561],586.1919480852667,[0.2900074 0.9570244],[365.5 365.5],731,28.14160123226175,False
164,190,627,[190 627],655.1557066835334,[0.2900074 0.9570244],[408.5 408.5],817,28.141601232261735,False
165,180,594,[180 594],620.6738273844,[0.2900074 0.9570244],[387. 387.],774,28.141601232261735,False
166,170,561,[170 561],586.1919480852667,[0.2900074 0.9570244],[365.5 365.5],731,28.14160123226175,False
167,210,693,[210 693],724.1194652818,[0.2900074 0.9570244],[451.5 451.5],903,28.14160123226171,False
168,110,363,[110 363],379.3006722904667,[0.2900074 0.9570244],[236.5 236.5],473,28.141601232261735,False
169,80,112,[ 80 112],137.63720427268203,[0.58123819 0.81373347],[96. 96.],192,9.46232220802565,False
170,90,126,[ 90 126],154.8418548067673,[0.58123819 0.81373347],[108. 108.],216,9.46232220802565,False
171,100,140,[100 140],172.04650534085255,[0.58123819 0.81373347],[120. 120.],240,9.46232220802565,False
172,120,168,[120 168],206.45580640902304,[0.58123819 0.81373347],[144. 144.],288,9.462322208025613,False
173,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
174,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
175,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
176,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
177,200,280,[200 280],344.0930106817051,[0.58123819 0.81373347],[240. 240.],480,9.46232220802565,False
178,210,294,[210 294],361.2976612157903,[0.58123819 0.81373347],[252. 252.],504,9.462322208025613,False
179,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
180,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
181,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
182,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
183,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
184,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
185,200,280,[200 280],344.0930106817051,[0.58123819 0.81373347],[240. 240.],480,9.46232220802565,False
186,100,140,[100 140],172.04650534085255,[0.58123819 0.81373347],[120. 120.],240,9.46232220802565,False
187,120,168,[120 168],206.45580640902304,[0.58123819 0.81373347],[144. 144.],288,9.462322208025613,False
188,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
189,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
190,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
191,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
192,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
193,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
194,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
195,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
196,120,168,[120 168],206.45580640902304,[0.58123819 0.81373347],[144. 144.],288,9.462322208025613,False
197,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
198,170,238,[170 238],292.4790590794493,[0.58123819 0.81373347],[204. 204.],408,9.46232220802565,False
199,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
200,120,168,[120 168],206.45580640902304,[0.58123819 0.81373347],[144. 144.],288,9.462322208025613,False
201,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
202,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
203,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
204,170,238,[170 238],292.4790590794493,[0.58123819 0.81373347],[204. 204.],408,9.46232220802565,False
205,110,154,[110 154],189.25115587493778,[0.58123819 0.81373347],[132. 132.],264,9.46232220802565,False
206,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
207,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
208,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
209,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
210,170,238,[170 238],292.4790590794493,[0.58123819 0.81373347],[204. 204.],408,9.46232220802565,False
211,120,168,[120 168],206.45580640902304,[0.58123819 0.81373347],[144. 144.],288,9.462322208025613,False
212,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
213,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
214,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
215,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
216,100,140,[100 140],172.04650534085255,[0.58123819 0.81373347],[120. 120.],240,9.46232220802565,False
217,110,154,[110 154],189.25115587493778,[0.58123819 0.81373347],[132. 132.],264,9.46232220802565,False
218,120,168,[120 168],206.45580640902304,[0.58123819 0.81373347],[144. 144.],288,9.462322208025613,False
219,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
220,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
221,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
222,170,238,[170 238],292.4790590794493,[0.58123819 0.81373347],[204. 204.],408,9.46232220802565,False
223,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
224,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
225,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
226,170,238,[170 238],292.4790590794493,[0.58123819 0.81373347],[204. 204.],408,9.46232220802565,False
227,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
228,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
229,120,168,[120 168],206.45580640902304,[0.58123819 0.81373347],[144. 144.],288,9.462322208025613,False
230,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
231,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
232,170,238,[170 238],292.4790590794493,[0.58123819 0.81373347],[204. 204.],408,9.46232220802565,False
233,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
234,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
235,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
236,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
237,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
238,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
239,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
240,130,182,[130 182],223.6604569431083,[0.58123819 0.81373347],[156. 156.],312,9.46232220802565,False
241,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
242,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
243,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
244,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
245,210,294,[210 294],361.2976612157903,[0.58123819 0.81373347],[252. 252.],504,9.462322208025613,False
246,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
247,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
248,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
249,210,294,[210 294],361.2976612157903,[0.58123819 0.81373347],[252. 252.],504,9.462322208025613,False
250,100,140,[100 140],172.04650534085255,[0.58123819 0.81373347],[120. 120.],240,9.46232220802565,False
251,110,154,[110 154],189.25115587493778,[0.58123819 0.81373347],[132. 132.],264,9.46232220802565,False
252,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
253,110,154,[110 154],189.25115587493778,[0.58123819 0.81373347],[132. 132.],264,9.46232220802565,False
254,150,210,[150 210],258.0697580112788,[0.58123819 0.81373347],[180. 180.],360,9.462322208025613,False
255,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
256,100,140,[100 140],172.04650534085255,[0.58123819 0.81373347],[120. 120.],240,9.46232220802565,False
257,110,154,[110 154],189.25115587493778,[0.58123819 0.81373347],[132. 132.],264,9.46232220802565,False
258,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
259,190,266,[190 266],326.88836014761984,[0.58123819 0.81373347],[228. 228.],456,9.46232220802565,False
260,170,238,[170 238],292.4790590794493,[0.58123819 0.81373347],[204. 204.],408,9.46232220802565,False
261,80,112,[ 80 112],137.63720427268203,[0.58123819 0.81373347],[96. 96.],192,9.46232220802565,False
262,90,126,[ 90 126],154.8418548067673,[0.58123819 0.81373347],[108. 108.],216,9.46232220802565,False
263,100,140,[100 140],172.04650534085255,[0.58123819 0.81373347],[120. 120.],240,9.46232220802565,False
264,110,154,[110 154],189.25115587493778,[0.58123819 0.81373347],[132. 132.],264,9.46232220802565,False
265,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
266,140,196,[140 196],240.86510747719356,[0.58123819 0.81373347],[168. 168.],336,9.46232220802565,False
267,160,224,[160 224],275.27440854536405,[0.58123819 0.81373347],[192. 192.],384,9.46232220802565,False
268,180,252,[180 252],309.6837096135346,[0.58123819 0.81373347],[216. 216.],432,9.46232220802565,False
269,200,280,[200 280],344.0930106817051,[0.58123819 0.81373347],[240. 240.],480,9.46232220802565,False
